id,codigo,nome_empresa,cidade,bairro,estado,texto,telefones,atividades
208442,11321,Inst. Odonto RadiolÃ³gico de Natal LTDA,Natal,PetrÃ³polis,RN,"<p>Cl&iacute;nica odontol&oacute;gica, radiologia odontol&oacute;gica, Raio X. Forma de pagamento: &agrave; vista, cheque, todos os cart&otilde;es, conv&ecirc;nios.</p>
","(84)32214049,(84)084,(84)084",ClÃ­nica
209208,12085,J Francisco do Nascimento Neto - Me,Natal,Lagoa Seca,RN,"<p><span style=""font-size:12px;"">A <strong>Climauto Refrigeraa&ccedil;&atilde;o Automotiva</strong> oferece&nbsp;servi&ccedil;os especializados em climatiza&ccedil;&atilde;o para garantir o m&aacute;ximo conforto em seu ve&iacute;culo. Com uma equipe altamente qualificada, est&aacute; pronta para diagnosticar e reparar qualquer problema relacionado ao sistema de <strong>ar condicionado</strong> do seu carro. Utilizando&nbsp;<strong>tecnologia</strong> de ponta e <strong>pe&ccedil;as</strong> de alta qualidade para garantir resultados duradouros e eficientes.<br />
<br />
Conte com a <strong>Climauto Refrigeraa&ccedil;&atilde;o Automotiva&nbsp;</strong>para resolver<strong> vazamentos</strong>, <strong>recarregar o g&aacute;s refrigerante,</strong> <strong>substituir compressores</strong> e realizar a <strong>manuten&ccedil;&atilde;o preventiva</strong> necess&aacute;ria para manter seu ar condicionado funcionando perfeitamente. Localizada no bairro <strong>Lagoa Seca</strong>, em<strong> Natal</strong>, a <strong>Climauto</strong>&nbsp;&eacute; a escolha ideal para cuidar do conforto t&eacute;rmico do seu ve&iacute;culo. Agende uma consulta hoje mesmo e volte a desfrutar de viagens agrad&aacute;veis em qualquer clima.</span></p>
","(84)32132251,(84)2132251,(84)2132251","Auto peÃ§as, Vendas de peÃ§as"
211804,14550,CYRO CAVALCANTE AUTO PECAS,Natal,Alecrim,RN,"<p>Trabalha com pe&ccedil;as em geral para autom&oacute;veis, pe&ccedil;as em metal leve, cofap, delphy, schadek, sab&oacute;, baleo, visconde, vanzim, gates, control, samel, spaal... VENDA DE PE&Ccedil;AS EM ATACADO! Forma de Pagamento: A vista com 3% de desconto, aceita cheque pr&eacute;-data</p>
","(84)36157020,(84),(84)","Auto peÃ§as, Vendas de peÃ§as"
212153,14886,ANDRIARA LOPES DE FREITAS,Natal,Lagoa Seca,RN,"<p>Fl&aacute;vio Equipadora EQUIPADORA PARA AUTOM&Oacute;VEL &nbsp;PEL&Iacute;CULA PARA AUTOM&Oacute;VEL ALARME PARA AUTOM&Oacute;VEL &nbsp;SOM PARA AUTOM&Oacute;VEL AUTOMOTIVO PARA CARRO VE&Iacute;CULO TRAVA EL&Eacute;TRICA FABRICA&Ccedil;&Atilde;O DE SOM AUTOMOTIVO CAIXA DE SOM PARA AUTOM&Oacute;VEL AUTO PE&Ccedil;AS KIT MULTIM&Iacute;DIA ENGATE PARA REBOQUE Pelicula termica AUTO PECAS PECAS E SERVICOS AUTOMOTIVOS SOM DE CARRO Flavio equipadora em Natal alarme &nbsp;travas &nbsp;pel&iacute;culas som automotivo equipadora autom&oacute;veis &nbsp;telefone endere&ccedil;o telepesquisa fabrica&ccedil;&atilde;o de caixa de som automotivo servi&ccedil;o traslado pega e entrega domic&iacute;lio Avenida Prudente de Morais Lagoa Seca Natal RN</p>
","(84)32122120,(84),(84)","Auto peÃ§as, Vendas de peÃ§as"
212645,15345,L L MENDES DUARTE,Parnamirim,Parque Industrial,RN,"<p>Venda de madeiras, esquadrias, materiais para constru&ccedil;&atilde;o em geral, loca&ccedil;&atilde;o de m&aacute;quinas, ca&ccedil;ambas e retroescavadeira.</p>
",(84)36431482,Material de construÃ§Ã£o
213428,16084,D.J. MATERIAL DE CONSTRUÃÃO,Natal,Ribeira,RN,"<p>Material de constru&ccedil;&atilde;o, el&eacute;trico e hidra&uacute;lico. Ferramentas, ferragens, abrasivos, acess&oacute;rio pl&aacute;stico, material de seguran&ccedil;a, produtos qu&iacute;micos, tintas vernizes e furadeira.</p>
",(84)3211-1132,Material de construÃ§Ã£o
213814,16458,FAHEL CLINICA ODONTOLÃGICA LTDA,Natal,Lagoa Nova,RN,"<p>Tratamentos clinicos, ortodontia, implante, clareamento dental. Pagamento: A vista, aceita cart&atilde;o e cheque.</p>
",(84)32222288,ClÃ­nica
213866,16511,VEGA MATERIAL DE CONSTRUÃÃO EPP,Parnamirim,Nova Parnamirim,RN,"<p>terraplanagem ALUGUEL DE RETROESCAVADEIRA material para constru&ccedil;&atilde;o entrega Vega Material de Constru&ccedil;&atilde;o MATERIAL DE CONSTRU&Ccedil;&Atilde;O Terraplenagem PEDRA BRITA ENTREGA EM DOMIC&Iacute;LIO Aluguel de m&aacute;quina constru&ccedil;&atilde;o civil CIMENTO VIGAS PREMOLDADO Laje Laje de piso FERRAGEM Rejunte ARGAMASSA Torneira CHUVEIRO Chuveiro choveiro el&eacute;trico MATERIAL HIDR&Aacute;ULICO MATERIAL EL&Eacute;TRICO Areia PEDRA MARROADA Tijolo LOJA DE MATERIAL DE CONSTRUCAO Avenida Ayrton Senna Nova Parnamirim RN</p>
",(84)36082341,"Material de construÃ§Ã£o, Entrega em domicÃ­lio"
214128,16766,JOILMA ALVES DE MEDEIROS ME,Parnamirim,Centro,RN,"<p>Servi&ccedil;os el&eacute;tricos, mec&acirc;nica, inje&ccedil;&atilde;o, manuten&ccedil;&atilde;o em g&aacute;s natural, alarme, conserto de trava el&eacute;trica, conserto de vidro el&eacute;trico.</p>
",(84)3272-5288,"Auto peÃ§as, Oficina, Vendas de peÃ§as"
214297,16930,Progresso Atacadista de Alimentos,Natal,Lagoa Nova,RN,"<p>Comercio atacadista, latcinios, limpeza, higiene pessoal, perfumaria, bebidas.</p>
",(84)32061088,"Bebida, Bebidas"
